# student_living_accommodation_sample.xlsx

## Summary

| Section                | Key points                                                                                                              |
|------------------------|-------------------------------------------------------------------------------------------------------------------------|
| On-campus living       | University Park, Jubilee Campus, Sutton Bonington; catered and self-catered options; close to academic + social spaces. |
| Benefits               | Free buses; 365-day security; all-inclusive bills + contents insurance; quieter living options.                         |
| Catering (MealPass)    | 12 meals/week; flexible dining; £25 weekly retail allowance; sustainable ingredients.                                   |
| Active Living          | Gym, courts, pitches, pool, sauna; events + classes; included for some halls (campus halls + Dagfa).                    |
| Residential Experience | Support 7 days/week; wellbeing + community; inclusivity; individual needs email provided.                               |
| Booking                | Firm choice first; wait 48h; pick 3 preferences; applications usually open early April.                                 |

## On-campus halls

| Hall                       | Campus/Notes                                                        | Weeks   | Catering             | From (£)   |
|----------------------------|---------------------------------------------------------------------|---------|----------------------|------------|
| Ancaster Hall              | University Park; close to Humanities; many en-suites; social spaces | 39      | Catered              | 234        |
| Bonington Student Village  | Sutton Bonington; variety of room types; outdoor spaces             | 44 & 51 | Self-catered         | 137        |
| Cavendish Hall             | University Park; many en-suites; lively social spaces               | 39      | Catered              | 277        |
| Cripps Hall                | University Park; overlooking The Downs; variety of budgets          | 39      | Catered              | 227        |
| Cripps Hall                | University Park; self-catered option                                | 44 & 51 | Self-catered         | 137        |
| Dagfa House                | University Park; former school grounds; ~5 min walk                 | 44 & 51 | —                    |            |
| Derby Hall                 | University Park; refurbished; variety of rooms                      | 39      | Catered              | 227        |
| Eviton House               | Sutton Bonington; nature; en-suite & studio                         | 44      | Self-catered         | 227        |
| Florence Boot Hall         | University Park; refurbished; study + social spaces                 | 39      | Catered              | 245        |
| Florence Boot Hall         | University Park; self-catered option                                | —       | Self-catered         | 183        |
| Lenton and Wortley Hall    | University Park; green spaces; next to Cripps Health Centre         | 39      | Catered              | 223        |
| Lincoln Hall               | University Park; quieter living available                           | 39      | Catered              | 206        |
| Newark Hall                | Jubilee; near Education + Computer Science; Atrium                  | 39      | Catered/Self-catered | 134        |
| Nightingale Hall           | University Park; near David Ross Sports Village                     | 39      | Catered              | 239        |
| Rutland Hall               | University Park; near David Ross Sports Village; iconic spire       | 39      | Catered              | 223        |
| Sherwood Hall              | University Park; value rooms; opposite Sports Village               | 39      | Catered              | 223        |
| Southwell Hall             | Jubilee; community kitchens; self-catered                           | 39      | Self-catered         | 132        |
| University Park Townhouses | University Park; communal living; variety of rooms                  | 39      | Catered              | 175        |

## Partner halls

| Hall            | Notes                                                              |   Weeks | Catering     |   From (£) |
|-----------------|--------------------------------------------------------------------|---------|--------------|------------|
| Albion House    | Beeston town centre; <20 min walk to University Park               |      44 | Self-catered |        142 |
| Broadgate Park  | Next to University Park West Entrance; library + community kitchen |      44 | Self-catered |        137 |
| Deakins Place   | Modern studios + en-suites; gym, yoga studio, cinema               |      44 | Self-catered |        187 |
| Madison Gardens | Next to Jubilee; refurbished clusters                              |      45 | Self-catered |        142 |
| Morriss House   | Next to Jubilee; en-suite + studios; landscaped gardens            |      45 | Self-catered |        199 |
| Nottingham Two  | Adjacent to Deakins Place; studios + en-suites                     |      45 | Self-catered |        182 |
| Raleigh Park    | Near Lenton + Radford; great value                                 |      44 | Self-catered |        125 |
| Riverside Point | En-suite rooms in flats of five; shared kitchen/living             |      44 | Self-catered |        173 |
| St Peters Court | Radford near Jubilee; en-suite; residents' gym                     |      44 | Self-catered |        162 |
| Triumph House   | Built 2022; studios/en-suites; sauna, steam room, gym              |      44 | Self-catered |        215 |

